id,,,G,W,L,W-L%,SRS,SOS,Conf WL,Home WL,Away WL,Points del,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1101,1,Abilene Christian,32,16,16,0.5,-8.87,-6.55,-2,3,-2,80,1290,870,1873,0.464,213,656,0.325,406,579,0.701,305,1092,481,260,128,461,671
1102,2,Air Force,31,12,19,0.387,-4.02,2.01,-6,2,-7,-120,1245,733,1751,0.419,250,755,0.331,408,556,0.734,302,1014,445,201,78,391,557
1103,3,Akron,32,14,18,0.438,-6.67,-1.76,-6,8,-8,-115,1295,793,1823,0.435,305,848,0.36,405,582,0.696,300,1066,417,189,81,440,637
1105,4,Alabama A&M,31,3,28,0.097,-23.87,-7.94,-12,-7,-17,-494,1245,673,1697,0.397,182,601,0.303,345,533,0.647,328,1046,340,123,49,514,506
1412,5,Alabama-Birmingham,33,20,13,0.606,4.61,-0.94,2,11,-1,233,1330,945,1939,0.487,223,647,0.345,423,564,0.75,334,1259,559,178,126,437,490
1106,6,Alabama State,31,8,23,0.258,-18.45,-8.51,-2,-4,-9,-308,1245,751,1838,0.409,209,638,0.328,418,647,0.646,394,1131,314,169,130,437,648
1104,7,Alabama NCAA,34,19,15,0.559,12.95,10.57,-2,8,-6,81,1360,860,1877,0.458,217,668,0.325,523,778,0.672,341,1231,426,218,186,481,645
1107,8,Albany (NY),32,22,10,0.688,0.1,-5.32,4,11,1,193,1280,839,1836,0.457,184,502,0.367,513,680,0.754,377,1191,405,150,91,371,528
1108,9,Alcorn State,32,11,21,0.344,-17.87,-8.41,-4,4,-14,-144,1285,791,1826,0.433,239,708,0.338,423,598,0.707,304,1104,419,200,85,459,613
1110,10,American,30,6,24,0.2,-14.46,-5.99,-12,-4,-14,-254,1205,698,1615,0.432,239,709,0.337,326,491,0.664,238,869,367,217,98,413,550
1111,11,Appalachian State,33,15,18,0.455,-4.55,-2.39,0,5,-7,72,1340,864,1983,0.436,292,860,0.34,500,748,0.668,389,1291,408,198,116,457,626
1113,12,Arizona State NCAA,31,20,11,0.645,15.02,6.83,-2,9,-2,254,1250,867,1867,0.464,277,760,0.364,578,783,0.738,307,1093,439,204,111,333,585
1112,13,Arizona NCAA,34,27,7,0.794,16.92,7.22,10,14,5,330,1380,980,1940,0.505,235,624,0.377,555,729,0.761,341,1246,518,168,155,417,592
1114,14,Arkansas-Little Rock,32,7,25,0.219,-10.12,-1.88,-10,-5,-12,-204,1300,750,1755,0.427,200,623,0.321,338,553,0.611,322,1088,391,159,93,459,612
1115,15,Arkansas-Pine Bluff,35,14,21,0.4,-14.67,-9.18,6,4,-7,-192,1410,815,1863,0.437,217,660,0.329,460,681,0.675,277,1024,427,274,144,500,681
