id,,,W-L%,SRS,SOS,Conf WL,Home WL,Away WL,Points del,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1101,1,Abilene Christian,0.5,-8.87,-6.55,-0.375,0.1875,-0.181818182,0.13536379,0.902097902,0.82464455,0.797021277,0.464,0.544757033,0.503067485,0.325,0.65483871,0.667050691,0.701,0.619918699,0.734364492,0.753918495,0.749279539,0.526748971,0.874762808,0.897058824
1102,2,Air Force,0.387,-4.02,2.01,-0.375,0.125,-0.636363636,-0.203045685,0.870629371,0.69478673,0.745106383,0.419,0.639386189,0.57898773,0.331,0.658064516,0.640552995,0.734,0.613821138,0.681909886,0.697492163,0.57925072,0.320987654,0.741935484,0.744652406
1103,3,Akron,0.438,-6.67,-1.76,-0.75,0.5,-0.727272727,-0.194585448,0.905594406,0.751658768,0.775744681,0.435,0.780051151,0.650306748,0.36,0.653225806,0.670506912,0.696,0.609756098,0.716879623,0.653605016,0.544668588,0.333333333,0.834914611,0.851604278
1105,4,Alabama A&M,0.097,-23.87,-7.94,0.125,-0.4375,-1.545454545,-0.835871404,0.870629371,0.637914692,0.72212766,0.397,0.465473146,0.460889571,0.303,0.556451613,0.6140553,0.647,0.666666667,0.703429724,0.532915361,0.354466859,0.201646091,0.975332068,0.676470588
1412,5,Alabama-Birmingham,0.606,4.61,-0.94,-0.125,0.6875,-0.090909091,0.394247039,0.93006993,0.895734597,0.825106383,0.487,0.570332481,0.496165644,0.345,0.682258065,0.649769585,0.75,0.678861789,0.84667115,0.876175549,0.5129683,0.518518519,0.829222011,0.655080214
1106,6,Alabama State,0.258,-18.45,-8.51,-0.125,-0.25,-0.818181818,-0.521150592,0.870629371,0.711848341,0.78212766,0.409,0.534526854,0.489263804,0.328,0.674193548,0.745391705,0.646,0.800813008,0.760591796,0.492163009,0.4870317,0.534979424,0.829222011,0.86631016
1104,7,Alabama NCAA,0.559,12.95,10.57,0.25,0.5,-0.545454545,0.137055838,0.951048951,0.815165877,0.798723404,0.458,0.554987212,0.512269939,0.325,0.843548387,0.896313364,0.672,0.693089431,0.827841291,0.667711599,0.628242075,0.765432099,0.912713472,0.862299465
1107,8,Albany (NY),0.688,0.1,-5.32,-0.25,0.6875,0.090909091,0.326565144,0.895104895,0.795260664,0.781276596,0.457,0.470588235,0.384969325,0.367,0.827419355,0.783410138,0.754,0.766260163,0.800941493,0.634796238,0.432276657,0.374485597,0.70398482,0.705882353
1108,9,Alcorn State,0.344,-17.87,-8.41,-0.75,0.25,-1.272727273,-0.243654822,0.898601399,0.749763033,0.777021277,0.433,0.611253197,0.542944785,0.338,0.682258065,0.688940092,0.707,0.617886179,0.742434432,0.656739812,0.576368876,0.349794239,0.870967742,0.819518717
1110,10,American,0.2,-14.46,-5.99,0,-0.25,-1.272727273,-0.429780034,0.842657343,0.661611374,0.687234043,0.432,0.611253197,0.543711656,0.337,0.525806452,0.565668203,0.664,0.483739837,0.584398117,0.57523511,0.625360231,0.403292181,0.783681214,0.735294118
