ID,Pred
2014_1107_1110,0.738796566
2014_1107_1112,0.534517935
2014_1107_1113,0.608987087
2014_1107_1124,0.586516339
2014_1107_1140,0.533062186
2014_1107_1142,0.742785909
2014_1107_1153,0.515867442
2014_1107_1157,0.677424236
2014_1107_1160,0.587048867
2014_1107_1163,0.628451931
2014_1107_1166,0.539483542
2014_1107_1173,0.585497952
2014_1107_1174,0.798935489
2014_1107_1181,0.459259929
2014_1107_1184,0.754521126
2014_1107_1196,0.436251648
2014_1107_1203,0.586225775
2014_1107_1211,0.412209753
2014_1107_1217,0.726366115
2014_1107_1234,0.545075731
2014_1107_1235,0.510606058
2014_1107_1242,0.51564127
2014_1107_1243,0.581038352
2014_1107_1246,0.44145573
2014_1107_1257,0.50038933
2014_1107_1264,0.686090547
2014_1107_1269,0.681196864
2014_1107_1272,0.630691311
2014_1107_1273,0.71742773
2014_1107_1276,0.508227746
2014_1107_1277,0.543021398
2014_1107_1291,0.611338967
2014_1107_1295,0.744165627
2014_1107_1300,0.677499554
2014_1107_1301,0.678890328
2014_1107_1304,0.625426271
2014_1107_1307,0.625379634
2014_1107_1308,0.63621114
2014_1107_1314,0.471459254
2014_1107_1326,0.586774579
2014_1107_1328,0.503285418
2014_1107_1329,0.471079831
2014_1107_1332,0.44655225
2014_1107_1338,0.635859109
2014_1107_1344,0.570426489
2014_1107_1361,0.607057649
2014_1107_1372,0.648059016
2014_1107_1386,0.643026713
2014_1107_1387,0.737429498
2014_1107_1390,0.662592684
2014_1107_1393,0.490929048
2014_1107_1397,0.533425665
2014_1107_1400,0.489119081
2014_1107_1409,0.605802658
2014_1107_1411,0.672988448
2014_1107_1417,0.526374236
2014_1107_1418,0.660485626
2014_1107_1433,0.57994298
2014_1107_1437,0.507542666
2014_1107_1438,0.565922136
2014_1107_1444,0.624227497
2014_1107_1451,0.629570071
2014_1107_1454,0.724804765
2014_1107_1455,0.401438631
2014_1107_1458,0.524442087
2014_1107_1459,0.613327845
2014_1107_1462,0.632219314
2014_1110_1112,0.437885586
2014_1110_1113,0.512354739
2014_1110_1124,0.489883991
2014_1110_1140,0.436429838
2014_1110_1142,0.646153561
2014_1110_1153,0.419235094
2014_1110_1157,0.580791888
2014_1110_1160,0.490416519
2014_1110_1163,0.531819583
2014_1110_1166,0.442851193
2014_1110_1173,0.488865604
2014_1110_1174,0.702303141
2014_1110_1181,0.36262758
2014_1110_1184,0.657888777
2014_1110_1196,0.339619299
2014_1110_1203,0.489593427
2014_1110_1211,0.315577404
2014_1110_1217,0.629733767
2014_1110_1234,0.448443383
2014_1110_1235,0.413973709
2014_1110_1242,0.419008922
2014_1110_1243,0.484406003
2014_1110_1246,0.344823381
2014_1110_1257,0.403756981
2014_1110_1264,0.589458199
2014_1110_1269,0.584564516
2014_1110_1272,0.534058962
2014_1110_1273,0.620795382
2014_1110_1276,0.411595398
2014_1110_1277,0.44638905
2014_1110_1291,0.514706619
2014_1110_1295,0.647533279
2014_1110_1300,0.580867206
2014_1110_1301,0.582257979
2014_1110_1304,0.528793923
2014_1110_1307,0.528747286
2014_1110_1308,0.539578792
2014_1110_1314,0.374826906
2014_1110_1326,0.490142231
2014_1110_1328,0.40665307
2014_1110_1329,0.374447482
2014_1110_1332,0.349919902
2014_1110_1338,0.539226761
2014_1110_1344,0.47379414
2014_1110_1361,0.510425301
2014_1110_1372,0.551426668
2014_1110_1386,0.546394364
2014_1110_1387,0.64079715
2014_1110_1390,0.565960336
2014_1110_1393,0.394296699
2014_1110_1397,0.436793317
2014_1110_1400,0.392486733
2014_1110_1409,0.509170309
2014_1110_1411,0.5763561
2014_1110_1417,0.429741887
2014_1110_1418,0.563853278
2014_1110_1433,0.483310632
2014_1110_1437,0.410910318
2014_1110_1438,0.469289788
2014_1110_1444,0.527595148
2014_1110_1451,0.532937723
2014_1110_1454,0.628172416
2014_1110_1455,0.304806282
2014_1110_1458,0.427809738
2014_1110_1459,0.516695497
2014_1110_1462,0.535586966
2014_1112_1113,0.624818498
2014_1112_1124,0.60234775
2014_1112_1140,0.548893597
2014_1112_1142,0.75861732
2014_1112_1153,0.531698853
2014_1112_1157,0.693255647
2014_1112_1160,0.602880278
2014_1112_1163,0.644283342
2014_1112_1166,0.555314953
2014_1112_1173,0.601329363
2014_1112_1174,0.8147669
2014_1112_1181,0.47509134
2014_1112_1184,0.770352537
2014_1112_1196,0.452083059
2014_1112_1203,0.602057186
2014_1112_1211,0.428041163
2014_1112_1217,0.742197526
2014_1112_1234,0.560907142
2014_1112_1235,0.526437468
2014_1112_1242,0.531472681
2014_1112_1243,0.596869762
2014_1112_1246,0.45728714
2014_1112_1257,0.51622074
2014_1112_1264,0.701921958
2014_1112_1269,0.697028275
2014_1112_1272,0.646522721
2014_1112_1273,0.733259141
2014_1112_1276,0.524059157
2014_1112_1277,0.558852809
2014_1112_1291,0.627170378
2014_1112_1295,0.759997038
2014_1112_1300,0.693330965
2014_1112_1301,0.694721738
2014_1112_1304,0.641257682
2014_1112_1307,0.641211045
2014_1112_1308,0.652042551
2014_1112_1314,0.487290665
2014_1112_1326,0.60260599
2014_1112_1328,0.519116829
2014_1112_1329,0.486911242
2014_1112_1332,0.462383661
2014_1112_1338,0.65169052
2014_1112_1344,0.586257899
2014_1112_1361,0.62288906
2014_1112_1372,0.663890427
2014_1112_1386,0.658858123
2014_1112_1387,0.753260909
2014_1112_1390,0.678424095
2014_1112_1393,0.506760459
2014_1112_1397,0.549257076
2014_1112_1400,0.504950492
2014_1112_1409,0.621634069
2014_1112_1411,0.688819859
2014_1112_1417,0.542205646
2014_1112_1418,0.676317037
2014_1112_1433,0.595774391
2014_1112_1437,0.523374077
2014_1112_1438,0.581753547
2014_1112_1444,0.640058907
2014_1112_1451,0.645401482
2014_1112_1454,0.740636176
2014_1112_1455,0.417270041
2014_1112_1458,0.540273498
2014_1112_1459,0.629159256
2014_1112_1462,0.648050725
2014_1113_1124,0.530161784
2014_1113_1140,0.47670763
2014_1113_1142,0.686431353
2014_1113_1153,0.459512886
2014_1113_1157,0.62106968
2014_1113_1160,0.530694311
2014_1113_1163,0.572097376
2014_1113_1166,0.483128986
2014_1113_1173,0.529143397
2014_1113_1174,0.742580934
2014_1113_1181,0.402905373
2014_1113_1184,0.69816657
2014_1113_1196,0.379897092
2014_1113_1203,0.52987122
2014_1113_1211,0.355855197
2014_1113_1217,0.67001156
2014_1113_1234,0.488721176
2014_1113_1235,0.454251502
2014_1113_1242,0.459286714
2014_1113_1243,0.524683796
2014_1113_1246,0.385101174
