ID,Pred
2018_1104_1112,0.393229259
2018_1104_1113,0.417325729
2018_1104_1116,0.429997948
2018_1104_1120,0.352370172
2018_1104_1137,0.31818818
2018_1104_1138,0.408648509
2018_1104_1139,0.278883247
2018_1104_1153,0.329663923
2018_1104_1155,0.415954185
2018_1104_1158,0.643482462
2018_1104_1166,0.26044912
2018_1104_1168,0.690304437
2018_1104_1172,0.434881859
2018_1104_1181,0.335165817
2018_1104_1196,0.368162432
2018_1104_1199,0.387946739
2018_1104_1209,0.52771827
2018_1104_1211,0.278736586
2018_1104_1222,0.394727166
2018_1104_1233,0.512556922
2018_1104_1242,0.387244111
2018_1104_1243,0.447911735
2018_1104_1246,0.412128923
2018_1104_1252,0.511078385
2018_1104_1254,0.545891304
2018_1104_1260,0.570638417
2018_1104_1267,0.425902731
2018_1104_1274,0.490512155
2018_1104_1276,0.48688374
2018_1104_1277,0.352040594
2018_1104_1281,0.450866799
2018_1104_1285,0.446139842
2018_1104_1293,0.576067881
2018_1104_1300,0.745634373
2018_1104_1301,0.343396373
2018_1104_1305,0.330401466
2018_1104_1308,0.486780903
2018_1104_1314,0.392100384
2018_1104_1326,0.314450236
2018_1104_1328,0.351619138
2018_1104_1335,0.567945112
2018_1104_1344,0.492630073
2018_1104_1345,0.236660744
2018_1104_1347,0.696252409
2018_1104_1348,0.418685357
2018_1104_1355,0.53776816
2018_1104_1361,0.42286636
2018_1104_1371,0.408727294
2018_1104_1372,0.459030049
2018_1104_1382,0.538003607
2018_1104_1393,0.521751179
2018_1104_1395,0.489612107
2018_1104_1397,0.446033647
2018_1104_1400,0.369214961
2018_1104_1401,0.407311891
2018_1104_1403,0.328240802
2018_1104_1411,0.566278005
2018_1104_1417,0.450959785
2018_1104_1420,0.634490068
2018_1104_1422,0.510953393
2018_1104_1437,0.392312651
2018_1104_1438,0.443317511
2018_1104_1439,0.343971218
2018_1104_1452,0.327216845
2018_1104_1455,0.419878512
2018_1104_1460,0.477320107
2018_1104_1462,0.364174418
2018_1112_1113,0.463436021
2018_1112_1116,0.47610824
2018_1112_1120,0.398480464
2018_1112_1137,0.364298472
2018_1112_1138,0.4547588
2018_1112_1139,0.324993539
2018_1112_1153,0.375774215
2018_1112_1155,0.462064477
2018_1112_1158,0.689592754
2018_1112_1166,0.306559412
2018_1112_1168,0.736414729
2018_1112_1172,0.480992151
2018_1112_1181,0.381276109
2018_1112_1196,0.414272723
2018_1112_1199,0.434057031
2018_1112_1209,0.573828562
2018_1112_1211,0.324846878
2018_1112_1222,0.440837458
2018_1112_1233,0.558667214
2018_1112_1242,0.433354403
2018_1112_1243,0.494022027
2018_1112_1246,0.458239215
2018_1112_1252,0.557188677
2018_1112_1254,0.592001596
2018_1112_1260,0.616748709
2018_1112_1267,0.472013023
2018_1112_1274,0.536622446
2018_1112_1276,0.532994032
2018_1112_1277,0.398150886
2018_1112_1281,0.496977091
2018_1112_1285,0.492250134
2018_1112_1293,0.622178173
2018_1112_1300,0.791744665
2018_1112_1301,0.389506665
2018_1112_1305,0.376511758
2018_1112_1308,0.532891195
2018_1112_1314,0.438210676
2018_1112_1326,0.360560528
2018_1112_1328,0.39772943
2018_1112_1335,0.614055404
2018_1112_1344,0.538740365
2018_1112_1345,0.282771036
2018_1112_1347,0.7423627
2018_1112_1348,0.464795649
2018_1112_1355,0.583878452
2018_1112_1361,0.468976652
2018_1112_1371,0.454837586
2018_1112_1372,0.505140341
2018_1112_1382,0.584113899
2018_1112_1393,0.567861471
2018_1112_1395,0.535722399
2018_1112_1397,0.492143939
2018_1112_1400,0.415325253
2018_1112_1401,0.453422183
2018_1112_1403,0.374351094
2018_1112_1411,0.612388297
2018_1112_1417,0.497070077
2018_1112_1420,0.68060036
2018_1112_1422,0.557063685
2018_1112_1437,0.438422942
2018_1112_1438,0.489427803
2018_1112_1439,0.39008151
2018_1112_1452,0.373327137
2018_1112_1455,0.465988804
2018_1112_1460,0.523430399
2018_1112_1462,0.41028471
2018_1113_1116,0.465814971
2018_1113_1120,0.388187194
2018_1113_1137,0.354005202
2018_1113_1138,0.444465531
2018_1113_1139,0.314700269
2018_1113_1153,0.365480945
2018_1113_1155,0.451771207
2018_1113_1158,0.679299484
2018_1113_1166,0.296266142
2018_1113_1168,0.72612146
2018_1113_1172,0.470698881
2018_1113_1181,0.370982839
2018_1113_1196,0.403979454
2018_1113_1199,0.423763761
2018_1113_1209,0.563535293
2018_1113_1211,0.314553608
2018_1113_1222,0.430544188
2018_1113_1233,0.548373945
2018_1113_1242,0.423061133
2018_1113_1243,0.483728757
2018_1113_1246,0.447945945
2018_1113_1252,0.546895407
2018_1113_1254,0.581708327
2018_1113_1260,0.60645544
2018_1113_1267,0.461719753
2018_1113_1274,0.526329177
2018_1113_1276,0.522700762
2018_1113_1277,0.387857616
2018_1113_1281,0.486683822
2018_1113_1285,0.481956864
2018_1113_1293,0.611884903
2018_1113_1300,0.781451396
2018_1113_1301,0.379213395
2018_1113_1305,0.366218489
2018_1113_1308,0.522597926
2018_1113_1314,0.427917407
2018_1113_1326,0.350267259
2018_1113_1328,0.38743616
2018_1113_1335,0.603762134
2018_1113_1344,0.528447095
2018_1113_1345,0.272477767
2018_1113_1347,0.732069431
2018_1113_1348,0.45450238
2018_1113_1355,0.573585182
2018_1113_1361,0.458683383
2018_1113_1371,0.444544317
2018_1113_1372,0.494847072
2018_1113_1382,0.573820629
2018_1113_1393,0.557568201
2018_1113_1395,0.525429129
2018_1113_1397,0.481850669
2018_1113_1400,0.405031983
2018_1113_1401,0.443128913
2018_1113_1403,0.364057824
2018_1113_1411,0.602095027
2018_1113_1417,0.486776807
2018_1113_1420,0.67030709
2018_1113_1422,0.546770415
2018_1113_1437,0.428129673
2018_1113_1438,0.479134533
2018_1113_1439,0.37978824
2018_1113_1452,0.363033867
2018_1113_1455,0.455695534
2018_1113_1460,0.513137129
2018_1113_1462,0.39999144
2018_1116_1120,0.428399676
2018_1116_1137,0.394217684
2018_1116_1138,0.484678013
2018_1116_1139,0.354912751
2018_1116_1153,0.405693427
2018_1116_1155,0.491983689
2018_1116_1158,0.719511966
2018_1116_1166,0.336478624
2018_1116_1168,0.766333941
2018_1116_1172,0.510911363
2018_1116_1181,0.411195321
2018_1116_1196,0.444191936
2018_1116_1199,0.463976243
2018_1116_1209,0.603747774
2018_1116_1211,0.35476609
2018_1116_1222,0.47075667
2018_1116_1233,0.588586426
2018_1116_1242,0.463273615
2018_1116_1243,0.523941239
2018_1116_1246,0.488158427
2018_1116_1252,0.587107889
2018_1116_1254,0.621920808
2018_1116_1260,0.646667921
2018_1116_1267,0.501932235
2018_1116_1274,0.566541659
2018_1116_1276,0.562913244
2018_1116_1277,0.428070098
2018_1116_1281,0.526896303
2018_1116_1285,0.522169346
2018_1116_1293,0.652097385
2018_1116_1300,0.821663877
2018_1116_1301,0.419425877
2018_1116_1305,0.40643097
2018_1116_1308,0.562810407
2018_1116_1314,0.468129888
2018_1116_1326,0.39047974
2018_1116_1328,0.427648642
2018_1116_1335,0.643974616
2018_1116_1344,0.568659577
2018_1116_1345,0.312690248
2018_1116_1347,0.772281913
2018_1116_1348,0.494714861
2018_1116_1355,0.613797664
2018_1116_1361,0.498895864
2018_1116_1371,0.484756798
2018_1116_1372,0.535059553
2018_1116_1382,0.614033111
2018_1116_1393,0.597780683
2018_1116_1395,0.565641611
2018_1116_1397,0.522063151
2018_1116_1400,0.445244465
2018_1116_1401,0.483341395
2018_1116_1403,0.404270306
2018_1116_1411,0.642307509
2018_1116_1417,0.526989289
2018_1116_1420,0.710519572
2018_1116_1422,0.586982897
2018_1116_1437,0.468342155
2018_1116_1438,0.519347015
2018_1116_1439,0.420000722
2018_1116_1452,0.403246349
2018_1116_1455,0.495908016
2018_1116_1460,0.553349611
2018_1116_1462,0.440203922
2018_1120_1137,0.403006209
2018_1120_1138,0.493466537
2018_1120_1139,0.363701275
2018_1120_1153,0.414481952
2018_1120_1155,0.500772213
2018_1120_1158,0.72830049
2018_1120_1166,0.345267148
2018_1120_1168,0.775122466
2018_1120_1172,0.519699887
2018_1120_1181,0.419983846
2018_1120_1196,0.45298046
2018_1120_1199,0.472764767
2018_1120_1209,0.612536299
2018_1120_1211,0.363554614
2018_1120_1222,0.479545194
2018_1120_1233,0.597374951
2018_1120_1242,0.472062139
2018_1120_1243,0.532729763
2018_1120_1246,0.496946952
2018_1120_1252,0.595896413
2018_1120_1254,0.630709333
2018_1120_1260,0.655456446
2018_1120_1267,0.510720759
2018_1120_1274,0.575330183
2018_1120_1276,0.571701768
2018_1120_1277,0.436858623
2018_1120_1281,0.535684828
2018_1120_1285,0.53095787
2018_1120_1293,0.660885909
2018_1120_1300,0.830452402
2018_1120_1301,0.428214401
2018_1120_1305,0.415219495
2018_1120_1308,0.571598932
2018_1120_1314,0.476918413
2018_1120_1326,0.399268265
2018_1120_1328,0.436437166
2018_1120_1335,0.65276314
2018_1120_1344,0.577448101
2018_1120_1345,0.321478773
2018_1120_1347,0.781070437
2018_1120_1348,0.503503386
2018_1120_1355,0.622586188
2018_1120_1361,0.507684389
2018_1120_1371,0.493545323
2018_1120_1372,0.543848078
2018_1120_1382,0.622821635
2018_1120_1393,0.606569207
2018_1120_1395,0.574430135
2018_1120_1397,0.530851675
2018_1120_1400,0.454032989
2018_1120_1401,0.492129919
2018_1120_1403,0.41305883
2018_1120_1411,0.651096033
2018_1120_1417,0.535777813
2018_1120_1420,0.719308096
