"","X1","X2"
"1","2018_1104_1112",NA
"2","2018_1104_1113",NA
"3","2018_1104_1116",NA
"4","2018_1104_1120",NA
"5","2018_1104_1137",NA
"6","2018_1104_1138",NA
"7","2018_1104_1139",NA
"8","2018_1104_1153",NA
"9","2018_1104_1155",NA
"10","2018_1104_1158",NA
"11","2018_1104_1166",NA
"12","2018_1104_1168",NA
"13","2018_1104_1172",NA
"14","2018_1104_1181",NA
"15","2018_1104_1196",NA
"16","2018_1104_1199",NA
"17","2018_1104_1209",NA
"18","2018_1104_1211",NA
"19","2018_1104_1222",NA
"20","2018_1104_1233",NA
"21","2018_1104_1242",NA
"22","2018_1104_1243",NA
"23","2018_1104_1246",NA
"24","2018_1104_1252",NA
"25","2018_1104_1254",NA
"26","2018_1104_1260",NA
"27","2018_1104_1267",NA
"28","2018_1104_1274",NA
"29","2018_1104_1276",NA
"30","2018_1104_1277",NA
"31","2018_1104_1281",NA
"32","2018_1104_1285",NA
"33","2018_1104_1293",NA
"34","2018_1104_1300",NA
"35","2018_1104_1301",NA
"36","2018_1104_1305",NA
"37","2018_1104_1308",NA
"38","2018_1104_1314",NA
"39","2018_1104_1326",NA
"40","2018_1104_1328",NA
"41","2018_1104_1335",NA
"42","2018_1104_1344",NA
"43","2018_1104_1345",NA
"44","2018_1104_1347",NA
"45","2018_1104_1348",NA
"46","2018_1104_1355",NA
"47","2018_1104_1361",NA
"48","2018_1104_1371",NA
"49","2018_1104_1372",NA
"50","2018_1104_1382",NA
"51","2018_1104_1393",NA
"52","2018_1104_1395",NA
"53","2018_1104_1397",NA
"54","2018_1104_1400",NA
"55","2018_1104_1401",NA
"56","2018_1104_1403",NA
"57","2018_1104_1411",NA
"58","2018_1104_1417",NA
"59","2018_1104_1420",NA
"60","2018_1104_1422",NA
"61","2018_1104_1437",NA
"62","2018_1104_1438",NA
"63","2018_1104_1439",NA
"64","2018_1104_1452",NA
"65","2018_1104_1455",NA
"66","2018_1104_1460",NA
"67","2018_1104_1462",NA
"68","2018_1112_1113",NA
"69","2018_1112_1116",NA
"70","2018_1112_1120",NA
"71","2018_1112_1137",NA
"72","2018_1112_1138",NA
"73","2018_1112_1139",NA
"74","2018_1112_1153",NA
"75","2018_1112_1155",NA
